rol,seleccionar,size
a_unico,b_ambos,30
b_comparto,b_ambos,15
b_comparto,b_ambos,7
c_noresponsable,c_igual,9
c_noresponsable,b_ambos,12
b_comparto,c_igual,13
c_noresponsable,b_ambos,15
b_comparto,c_igual,22
b_comparto,c_igual,21
b_comparto,b_ambos,23
b_comparto,b_ambos,33
b_comparto,e_solotecnico,14
b_comparto,b_ambos,51
b_comparto,c_igual,20
c_noresponsable,b_ambos,7
b_comparto,c_tecnico,3
b_comparto,c_tecnico,12
c_noresponsable,c_igual,15
b_comparto,b_ambos,13
b_comparto,c_igual,55
b_comparto,b_ambos,32
